artist,genre,platform,country,streams,revenue_usd,followers,date
"Drift King",Lo-fi,Audiomack,USA,131921,1533.98,287562,2023-12-14
"Neon Nights",R&B,Spotify,UK,587168,4448.38,423911,2022-08-07
"Velvet Tone",Drill,"Apple Music",Nigeria,654084,1003.68,433002,2023-01-27
"Drift King",Drill,Audiomack,Nigeria,946420,515.79,280908,2023-08-23
"Drift King",Drill,"Apple Music","South Africa",773406,2944.43,398484,2023-03-19
"Velvet Tone","Lo fi","apple music",Nigeria,624443,4147.84,199061,2024-03-16
"Velvet Tone",Drill,YouTube,USA,815894,2461.28,321452,2022-01-20
"Nova Beats",Hip-Hop,Audiomack,Nigeria,700880,2438.95,16986,2023-02-17
"Drift King",Hip-Hop,"Apple Music",Canada,841824,3064.63,224036,2023-05-17
"Pulse Rider",Pop,SoundCloud,USA,268651,3925.68,224560,2024-02-02
"Neon Nights",Hip-Hop,Audiomack,Nigeria,353491,3048.37,198152,2023-08-26
"Luna Wave",Drill,soundcloud,USA,519513,629.44,482229,2022-02-07
Skyline,Drill,SoundCloud,Nigeria,726953,2825.41,179092,2023-07-26
"Luna Wave",Afrobeats,Audiomack,UK,579243,4175.51,356507,2023-12-20
"Neon Nights",Afrobeats,SoundCloud,"South Africa",630422,3780.51,157433,2023-09-10
"Pulse Rider",R&B,Spotify,UK,540805,4205.25,420739,2023-03-25
"Urban Flow",Hip-Hop,SoundCloud,UK,717716,933.47,361402,2024-07-26
"Pulse Rider",Lo-fi,SoundCloud,USA,760226,4702.58,269375,2023-08-29
"Drift King",Afrobeats,SoundCloud,Nigeria,318759,466.58,2087,2024-05-21
Skyline,Drill,SoundCloud,UK,723770,2793.88,448709,2024-02-12
"Velvet Tone",Pop,YouTube,UK,654847,3406.17,310274,2023-07-10
"Soul Syntax",Pop,Spotify,Nigeria,96736,3083.3,204972,2023-01-13
"Nova Beats",Drill,Spotify,"South Africa",889070,2193.62,6607,2022-03-08
EchoMind,Pop,YouTube,UK,495266,4327.56,379458,2022-08-22
"Nova Beats",Hip-Hop,SoundCloud,UK,39652,4094.93,189763,2022-12-24
"Pulse Rider",Drill,"Apple Music",Nigeria,59064,375.27,428854,2023-05-24
